============================================================================
|  Loan: 90000  |  Years: 25  |  Interest: 18000  |  Monthly Payment: 360  |
============================================================================
|    Payment    |  Interest   |     Principal     |      Left to Pay       |
============================================================================
|       1       |     135     |        225        |         108000         |
|       2       |     135     |        225        |         107640         |
|       3       |     134     |        226        |         107280         |
|       4       |     134     |        226        |         106920         |
|       5       |     133     |        227        |         106560         |
|       6       |     133     |        227        |         106200         |
|       7       |     132     |        228        |         105840         |
|       8       |     132     |        228        |         105480         |
|       9       |     131     |        229        |         105120         |
|      10       |     131     |        229        |         104760         |
|      11       |     130     |        230        |         104400         |
|      12       |     130     |        230        |         104040         |
|      13       |     130     |        230        |         103680         |
|      14       |     129     |        231        |         103320         |
|      15       |     129     |        231        |         102960         |
|      16       |     128     |        232        |         102600         |
|      17       |     128     |        232        |         102240         |
|      18       |     127     |        233        |         101880         |
|      19       |     127     |        233        |         101520         |
|      20       |     126     |        234        |         101160         |
|      21       |     126     |        234        |         100800         |
|      22       |     126     |        234        |         100440         |
|      23       |     125     |        235        |         100080         |
|      24       |     125     |        235        |         99720          |
|      25       |     124     |        236        |         99360          |
|      26       |     124     |        236        |         99000          |
|      27       |     123     |        237        |         98640          |
|      28       |     123     |        237        |         98280          |
|      29       |     122     |        238        |         97920          |
|      30       |     122     |        238        |         97560          |
|      31       |     122     |        238        |         97200          |
|      32       |     121     |        239        |         96840          |
|      33       |     121     |        239        |         96480          |
|      34       |     120     |        240        |         96120          |
|      35       |     120     |        240        |         95760          |
|      36       |     119     |        241        |         95400          |
|      37       |     119     |        241        |         95040          |
|      38       |     118     |        242        |         94680          |
|      39       |     118     |        242        |         94320          |
|      40       |     117     |        243        |         93960          |
|      41       |     117     |        243        |         93600          |
|      42       |     117     |        243        |         93240          |
|      43       |     116     |        244        |         92880          |
|      44       |     116     |        244        |         92520          |
|      45       |     115     |        245        |         92160          |
|      46       |     115     |        245        |         91800          |
|      47       |     114     |        246        |         91440          |
|      48       |     114     |        246        |         91080          |
|      49       |     113     |        247        |         90720          |
|      50       |     113     |        247        |         90360          |
|      51       |     112     |        248        |         90000          |
|      52       |     112     |        248        |         89640          |
|      53       |     112     |        248        |         89280          |
|      54       |     111     |        249        |         88920          |
|      55       |     111     |        249        |         88560          |
|      56       |     110     |        250        |         88200          |
|      57       |     110     |        250        |         87840          |
|      58       |     109     |        251        |         87480          |
|      59       |     109     |        251        |         87120          |
|      60       |     108     |        252        |         86760          |
